stationID,all_len,data_len,th_len,missing_hour
400001,149382,62681,62712,103
400007,127066,62681,62712,103
400010,149396,62681,62712,103
400014,149384,62681,62712,103
400039,149396,62681,62712,103
400107,149396,62681,62712,103
400119,149396,62681,62712,103
400125,149090,62663,62688,121
400168,127196,62681,62712,103
400181,149396,62681,62712,103
400183,149396,62681,62712,103
400195,149384,62681,62712,103
400214,149396,62681,62712,103
400227,149382,62681,62712,103
400237,149396,62681,62712,103
400246,149396,62681,62712,103
400255,149239,62681,62712,103
400260,149396,62681,62712,103
400283,149396,62681,62712,103
400291,149200,62681,62712,103
400316,149396,62681,62712,103
400325,149396,62681,62712,103
400331,149379,62664,62688,120
400349,149396,62681,62712,103
400353,127196,62681,62712,103
400381,120812,62681,62712,103
400388,149201,62681,62712,103
400390,149396,62681,62712,103
400400,149396,62681,62712,103
400420,127043,62681,62712,103
400428,149096,62669,62688,115
400441,126906,62670,62712,114
400473,149396,62681,62712,103
400474,149396,62681,62712,103
400497,149396,62681,62712,103
400503,149240,62681,62712,103
400527,120812,62681,62712,103
400540,149162,62665,62688,119
400591,149396,62681,62712,103
400593,149090,62663,62688,121
400598,149396,62681,62712,103
400630,149284,62681,62712,103
400656,149396,62681,62712,103
400661,149396,62681,62712,103
400668,149396,62681,62712,103
400720,127005,62681,62712,103
400753,127000,62681,62712,103
400760,149396,62681,62712,103
400768,149273,62681,62712,103
400790,127184,62681,62712,103
400797,120812,62681,62712,103
400804,127196,62681,62712,103
400817,127103,62681,62712,103
400858,149396,62681,62712,103
400859,149396,62681,62712,103
400863,149396,62681,62712,103
400911,149396,62681,62712,103
400935,126970,62669,62712,115
400962,149396,62681,62712,103
400964,149396,62681,62712,103
400965,149396,62681,62712,103
400975,149200,62681,62712,103
400981,143060,62681,62712,103
400996,149396,62681,62712,103
401199,120517,62674,62712,110
401336,140244,62668,62688,116
401358,149245,62681,62712,103
401409,149396,62681,62712,103
401411,149396,62681,62712,103
401443,149396,62681,62712,103
401448,149396,62681,62712,103
401469,149396,62681,62712,103
401472,149230,62667,62712,117
401474,149207,62681,62712,103
401507,149382,62681,62712,103
401534,149396,62681,62712,103
401578,149396,62681,62712,103
401581,149396,62681,62712,103
401586,149396,62681,62712,103
401592,149396,62681,62712,103
