@RELATION 0_elec_anomaly_scale_f_0_s_0.1_r_3_uniform

@ATTRIBUTE attribute_1 numeric
@ATTRIBUTE class {1.0, 0.0}

@DATA

0.439155,0.0
0.415055,0.0
0.385004,0.0
0.314639,0.0
0.251116,0.0
0.207528,0.0
0.171824,0.0
0.152782,0.0
0.13493,0.0
0.140583,0.0
0.168997,0.0
0.212437,0.0
0.298721,0.0
0.39036,0.0
0.402261,0.0
0.462214,0.0
0.488248,0.0
0.493306,0.0
0.53258,0.0
0.546415,0.0
0.53496,0.0
0.51681,0.0
0.513984,0.0
0.513835,0.0
0.505356,0.0
0.497917,0.0
0.499554,0.0
0.491669,0.0
0.489735,0.0
0.47709,0.0
0.466825,0.0
0.478132,0.0
0.484975,0.0
0.503124,0.0
0.55296,0.0
0.612318,0.0
0.587623,0.0
0.546861,0.0
0.497025,0.0
0.470693,0.0
0.446296,0.0
0.412229,0.0
0.368789,0.0
0.34573,0.0
0.40479,0.0
0.42889,0.0
0.445254,0.0
0.44094,0.0
0.442874,0.0
0.41089,0.0
0.378905,0.0
0.316721,0.0
0.257959,0.0
0.214073,0.0
0.178816,0.0
0.151889,0.0
0.1385,0.0
0.142071,0.0
0.171675,0.0
0.214519,0.0
0.30244,0.0
0.393038,0.0
0.395567,0.0
0.456561,0.0
0.487504,0.0
0.488991,0.0
0.52886,0.0
0.533323,0.0
0.519935,0.0
0.502529,0.0
0.491818,0.0
0.486909,0.0
0.480363,0.0
0.477388,0.0
0.477388,0.0
0.47114,0.0
0.462065,0.0
0.445403,0.0
0.442428,0.0
0.450759,0.0
0.455965,0.0
0.484677,0.0
0.53377,0.0
0.604136,0.0
0.587028,0.0
0.552812,0.0
0.51086,0.0
0.480065,0.0
0.452246,0.0
0.431568,0.0
0.3856,0.0
0.350342,0.0
0.409104,0.0
0.435138,0.0
0.456412,0.0
0.449866,0.0
0.44823,0.0
0.429485,0.0
0.399286,0.0
0.331449,0.0
0.271794,0.0
0.228206,0.0
0.183576,0.0
0.162452,0.0
0.151592,0.0
0.147724,0.0
0.174353,0.0
0.2169,0.0
0.307349,0.0
0.403451,0.0
0.407766,0.0
0.465486,0.0
0.490777,0.0
0.493603,0.0
0.519786,0.0
0.531836,0.0
0.520976,0.0
0.490925,0.0
0.49762,0.0
0.490479,0.0
0.482892,0.0
0.475751,0.0
0.474412,0.0
0.466825,0.0
0.458792,0.0
0.446742,0.0
0.439601,0.0
0.442428,0.0
0.450461,0.0
0.468015,0.0
0.510562,0.0
0.592086,0.0
0.584796,0.0
0.558018,0.0
0.52053,0.0
0.493454,0.0
0.473817,0.0
0.453585,0.0
0.407468,0.0
0.371169,0.0
0.422345,0.0
0.442577,0.0
0.46385,0.0
0.462065,0.0
0.459833,0.0
0.434543,0.0
0.395567,0.0
0.327879,0.0
0.273282,0.0
0.232223,0.0
0.187295,0.0
0.164237,0.0
0.154418,0.0
0.159625,0.0
0.182981,0.0
0.226867,0.0
0.314192,0.0
0.401517,0.0
0.405832,0.0
0.457751,0.0
0.496727,0.0
0.500595,0.0
0.542101,0.0
0.550878,0.0
0.535257,0.0
0.516662,0.0
0.50476,0.0
0.495537,0.0
0.485272,0.0
0.482594,0.0
0.473371,0.0
0.468164,0.0
0.461619,0.0
0.456709,0.0
0.439453,0.0
0.438411,0.0
0.441684,0.0
0.458792,0.0
0.499554,0.0
0.54939,0.0
0.53377,0.0
0.505504,0.0
0.458346,0.0
0.429485,0.0
0.399137,0.0
0.376525,0.0
0.352127,0.0
0.309283,0.0
0.381434,0.0
0.408956,0.0
0.43856,0.0
0.435436,0.0
0.436924,0.0
0.407468,0.0
0.368343,0.0
0.304522,0.0
0.246355,0.0
0.196816,0.0
0.152633,0.0
0.127343,0.0
0.11083,0.0
0.101607,0.0
0.105326,0.0
0.120649,0.0
0.149807,0.0
0.176882,0.0
0.214073,0.0
0.286224,0.0
0.344243,0.0
0.385897,0.0
0.423535,0.0
0.428593,0.0
0.416989,0.0
0.403154,0.0
0.382624,0.0
0.371021,0.0
0.354508,0.0
0.337102,0.0
0.325796,0.0
0.313746,0.0
0.296489,0.0
0.287266,0.0
0.284588,0.0
0.287266,0.0
0.291431,0.0
0.318209,0.0
0.363136,0.0
